"algorithm","policy_type","traj_mapping_method","reward_period","drop_truncated_feedback_episodes","discount_factor","learning_rate","epsilon","algorithm_args"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","2",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","2",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","4",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","4",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","6",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","6",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","8",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-impute-missing-reward-mapper","8",true,0.99,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","2",false,1.0,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","2",false,0.99,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","4",false,1.0,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","4",false,0.99,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","6",false,1.0,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","6",false,0.99,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","2",true,1.0,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","2",true,0.99,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","4",true,1.0,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","4",true,0.99,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","6",true,1.0,0.1,0.0,"{}"
"first-visit-mc","options","daaf-mdp-with-options-mapper","6",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","2",false,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","2",false,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","4",false,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","4",false,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","6",false,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","6",false,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","8",false,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","8",false,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","2",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","2",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","4",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","4",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","6",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","6",true,0.99,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","8",true,1.0,0.1,0.0,"{}"
"first-visit-mc","single-step","daaf-lsq-reward-attribution-mapper","8",true,0.99,0.1,0.0,"{}"
